date,open,high,low,close,volume
2018-08-07,6.336599,6.378678,6.309867,6.360114,258132000.000000
2018-08-08,6.361351,6.441549,6.326450,6.396499,262100000.000000
2018-08-09,6.414320,6.417043,6.340311,6.347984,204280000.000000
2018-08-10,6.266054,6.339073,6.254915,6.306648,256396000.000000
2018-08-13,6.315312,6.460361,6.313579,6.339569,375208000.000000
2018-08-14,6.445015,6.485114,6.361847,6.471005,466220000.000000
2018-08-15,6.491796,6.525707,6.334123,6.412836,591136000.000000
2018-08-16,6.482636,6.485112,6.312092,6.372241,801260000.000000
2018-08-17,6.260856,6.261599,6.032887,6.059867,1143188000.000000
2018-08-20,6.019274,6.267293,5.908879,6.134620,854388000.000000
2018-08-21,6.150957,6.274719,6.131155,6.270263,673988000.000000
2018-08-22,6.237590,6.510361,6.234125,6.505410,749856000.000000
2018-08-23,6.466796,6.670260,6.452935,6.604914,720684000.000000
2018-08-24,6.613330,6.752686,6.608875,6.738082,531512000.000000
2018-08-27,6.767785,6.903428,6.736349,6.829171,505776000.000000
2018-08-28,6.823231,6.846003,6.671499,6.791548,475384000.000000
2018-08-29,6.783869,6.922062,6.763065,6.897049,420108000.000000
2018-08-30,6.865843,6.977042,6.843306,6.880208,346608000.000000
2018-08-31,6.860148,6.964165,6.850242,6.951287,306592000.000000
2018-09-04,6.938159,7.063722,6.909679,7.026079,391720000.000000
2018-09-05,7.008496,7.043911,6.814332,6.895316,393156000.000000
2018-09-06,6.878969,6.881446,6.721211,6.754149,322796000.000000
2018-09-07,6.662021,6.858415,6.617195,6.732852,295420000.000000
2018-09-10,6.755389,6.833649,6.711553,6.803930,220140000.000000
2018-09-11,6.757618,6.845289,6.736815,6.756133,243112000.000000
2018-09-12,6.716258,6.735823,6.486678,6.642208,419092000.000000
2018-09-13,6.708086,6.810616,6.690750,6.719974,305536000.000000
2018-09-14,6.810369,6.912157,6.773468,6.846032,386936000.000000
2018-09-17,6.820524,6.869560,6.764801,6.784118,205528000.000000
2018-09-18,6.788080,6.890858,6.705362,6.712048,299520000.000000
2018-09-19,6.693473,6.753654,6.643446,6.735823,224860000.000000
2018-09-20,6.613729,6.656079,6.540670,6.594660,430584000.000000
2018-09-21,6.606547,6.652117,6.491386,6.524572,435128000.000000
2018-09-24,6.493613,6.583760,6.406437,6.580293,293912000.000000
2018-09-25,6.646419,6.672423,6.560729,6.647409,280388000.000000
2018-09-26,6.652362,6.692731,6.594658,6.610508,268548000.000000
2018-09-27,6.645675,6.666974,6.590943,6.622396,214428000.000000
